Time,CH B,
3.0015E+1,-4.01256E-1,
3.0065E+1,-3.37256E-1,
3.01151E+1,-4.01256E-1,
3.01651E+1,-3.37256E-1,
3.02151E+1,-4.01256E-1,
3.02651E+1,-2.81256E-1,
3.03152E+1,-4.09256E-1,
3.03652E+1,-3.37256E-1,
3.04152E+1,-4.09256E-1,
3.04652E+1,-3.37256E-1,
3.05153E+1,-4.09256E-1,
3.05653E+1,-3.37256E-1,
3.06153E+1,-4.09256E-1,
3.06653E+1,-3.45256E-1,
3.07154E+1,-4.01256E-1,
3.07654E+1,-3.45256E-1,
3.08154E+1,-4.09256E-1,
3.08654E+1,-3.45256E-1,
3.09155E+1,-4.09256E-1,
3.09655E+1,-3.45256E-1,
3.10155E+1,-4.09256E-1,
3.10655E+1,-3.45256E-1,
3.11156E+1,-4.17256E-1,
3.11656E+1,-3.45256E-1,
3.12156E+1,-4.09256E-1,
3.12656E+1,-3.45256E-1,
3.13157E+1,-4.09256E-1,
3.13657E+1,-3.53256E-1,
3.14157E+1,-4.25256E-1,
3.14657E+1,-3.53256E-1,
3.15158E+1,-4.09256E-1,
3.15658E+1,-3.45256E-1,
3.16158E+1,-4.17256E-1,
3.16658E+1,-3.53256E-1,
3.17159E+1,-4.17256E-1,
3.17659E+1,-3.53256E-1,
3.18159E+1,-4.25256E-1,
3.18659E+1,-3.53256E-1,
3.1916E+1,-4.25256E-1,
3.1966E+1,-3.53256E-1,
3.2016E+1,-4.25256E-1,
3.2066E+1,-3.53256E-1,
3.21161E+1,-4.25256E-1,
3.21661E+1,-3.61256E-1,
3.22161E+1,-4.25256E-1,
3.22661E+1,-3.61256E-1,
3.23162E+1,-4.25256E-1,
3.23662E+1,-3.61256E-1,
3.24162E+1,-4.25256E-1,
3.24662E+1,-2.09256E-1,
3.25163E+1,-4.33256E-1,
3.25663E+1,-3.69256E-1,
3.26163E+1,-4.33256E-1,
3.26663E+1,-3.69256E-1,
3.27164E+1,-4.25256E-1,
3.27664E+1,-3.69256E-1,
3.28164E+1,-4.25256E-1,
3.28664E+1,-3.69256E-1,
3.29165E+1,-4.33256E-1,
3.29665E+1,-3.69256E-1,
3.30165E+1,-4.33256E-1,
3.30665E+1,-3.69256E-1,
3.31166E+1,-4.41256E-1,
3.31666E+1,-3.77256E-1,
3.32166E+1,-4.41256E-1,
3.32666E+1,-3.21256E-1,
3.33167E+1,-4.49256E-1,
3.33667E+1,-3.77256E-1,
3.34167E+1,-4.49256E-1,
3.34667E+1,-3.37256E-1,
3.35168E+1,-4.57256E-1,
3.35668E+1,-3.85256E-1,
3.36168E+1,-4.65256E-1,
3.36668E+1,-3.93256E-1,
3.37169E+1,-4.73256E-1,
3.37669E+1,-3.93256E-1,
3.38169E+1,-4.73256E-1,
3.38669E+1,-3.93256E-1,
3.3917E+1,-4.73256E-1,
3.3967E+1,-4.01256E-1,
3.4017E+1,-4.57256E-1,
3.4067E+1,-4.01256E-1,
3.41171E+1,-4.73256E-1,
3.41671E+1,-4.09256E-1,
3.42171E+1,-4.81256E-1,
3.42671E+1,-4.09256E-1,
3.43172E+1,-4.89256E-1,
3.43672E+1,-4.09256E-1,
3.44172E+1,-4.81256E-1,
3.44672E+1,-4.17256E-1,
3.45173E+1,-4.97256E-1,
3.45673E+1,-4.17256E-1,
3.46173E+1,-4.97256E-1,
3.46673E+1,-4.17256E-1,
3.47174E+1,-4.89256E-1,
3.47674E+1,-4.17256E-1,
3.48174E+1,-4.89256E-1,
3.48674E+1,-4.17256E-1,
3.49175E+1,-4.97256E-1,
3.49675E+1,-4.17256E-1,
3.50175E+1,-4.97256E-1,
3.50675E+1,-4.25256E-1,
3.51176E+1,-4.97256E-1,
3.51676E+1,-4.25256E-1,
3.52176E+1,-4.97256E-1,
3.52676E+1,-4.33256E-1,
3.53177E+1,-4.97256E-1,
3.53677E+1,-4.33256E-1,
3.54177E+1,-5.05256E-1,
3.54677E+1,-4.33256E-1,
3.55178E+1,-5.05256E-1,
3.55678E+1,-4.41256E-1,
3.56178E+1,-5.13256E-1,
3.56678E+1,-4.41256E-1,
3.57179E+1,-5.13256E-1,
3.57679E+1,-4.41256E-1,
3.58179E+1,-5.13256E-1,
3.58679E+1,-4.41256E-1,
3.5918E+1,-5.21256E-1,
3.5968E+1,-4.49256E-1,
3.6018E+1,-5.13256E-1,
3.6068E+1,-4.49256E-1,
3.61181E+1,-5.21256E-1,
3.61681E+1,-4.49256E-1,
