[s],CH2[V]
-1.4975E-03,-9.222E-02
-1.4950E-03,-9.222E-02
-1.4925E-03,-9.222E-02
-1.4900E-03,-5.222E-02
-1.4875E-03,-9.222E-02
-1.4850E-03,-5.222E-02
-1.4825E-03,-9.222E-02
-1.4800E-03,-9.222E-02
-1.4775E-03,-5.222E-02
-1.4750E-03,-5.222E-02
-1.4725E-03,-5.222E-02
-1.4700E-03,-9.222E-02
-1.4675E-03,-9.222E-02
-1.4650E-03,1.348E+00
-1.4625E-03,6.778E-02
-1.4600E-03,-9.222E-02
-1.4575E-03,-5.222E-02
-1.4550E-03,-9.222E-02
-1.4525E-03,-9.222E-02
-1.4500E-03,-9.222E-02
-1.4475E-03,-5.222E-02
-1.4450E-03,-9.222E-02
-1.4425E-03,-9.222E-02
-1.4400E-03,-5.222E-02
-1.4375E-03,-5.222E-02
-1.4350E-03,-1.322E-01
-1.4325E-03,-9.222E-02
-1.4300E-03,-9.222E-02
-1.4275E-03,-5.222E-02
-1.4250E-03,-9.222E-02
-1.4225E-03,-9.222E-02
-1.4200E-03,-9.222E-02
-1.4175E-03,-9.222E-02
-1.4150E-03,-9.222E-02
-1.4125E-03,-1.322E-01
-1.4100E-03,-9.222E-02
-1.4075E-03,-5.222E-02
-1.4050E-03,-5.222E-02
-1.4025E-03,-9.222E-02
-1.4000E-03,-9.222E-02
-1.3975E-03,-9.222E-02
-1.3950E-03,-9.222E-02
-1.3925E-03,-9.222E-02
-1.3900E-03,-5.222E-02
-1.3875E-03,-5.222E-02
-1.3850E-03,-9.222E-02
-1.3825E-03,-9.222E-02
-1.3800E-03,-9.222E-02
-1.3775E-03,-9.222E-02
-1.3750E-03,-9.222E-02
-1.3725E-03,-9.222E-02
-1.3700E-03,-9.222E-02
-1.3675E-03,-5.222E-02
-1.3650E-03,-9.222E-02
-1.3625E-03,-9.222E-02
-1.3600E-03,-9.222E-02
-1.3575E-03,-9.222E-02
-1.3550E-03,-9.222E-02
-1.3525E-03,-9.222E-02
-1.3500E-03,-9.222E-02
-1.3475E-03,-9.222E-02
-1.3450E-03,-9.222E-02
-1.3425E-03,-5.222E-02
-1.3400E-03,-9.222E-02
-1.3375E-03,-9.222E-02
-1.3350E-03,-9.222E-02
-1.3325E-03,-9.222E-02
-1.3300E-03,-9.222E-02
-1.3275E-03,-9.222E-02
-1.3250E-03,-5.222E-02
-1.3225E-03,-9.222E-02
-1.3200E-03,-9.222E-02
-1.3175E-03,-9.222E-02
-1.3150E-03,-9.222E-02
-1.3125E-03,-9.222E-02
-1.3100E-03,-9.222E-02
-1.3075E-03,-5.222E-02
-1.3050E-03,-9.222E-02
-1.3025E-03,-9.222E-02
-1.3000E-03,-9.222E-02
-1.2975E-03,-9.222E-02
-1.2950E-03,-5.222E-02
-1.2925E-03,-5.222E-02
-1.2900E-03,-9.222E-02
-1.2875E-03,-5.222E-02
-1.2850E-03,-5.222E-02
-1.2825E-03,-9.222E-02
-1.2800E-03,-9.222E-02
-1.2775E-03,-9.222E-02
-1.2750E-03,-5.222E-02
-1.2725E-03,-9.222E-02
-1.2700E-03,-9.222E-02
-1.2675E-03,-9.222E-02
-1.2650E-03,-9.222E-02
-1.2625E-03,-9.222E-02
-1.2600E-03,-9.222E-02
-1.2575E-03,-5.222E-02
-1.2550E-03,-5.222E-02
-1.2525E-03,-9.222E-02
-1.2500E-03,-9.222E-02
-1.2475E-03,-9.222E-02
-1.2450E-03,-9.222E-02
-1.2425E-03,-9.222E-02
-1.2400E-03,-9.222E-02
-1.2375E-03,-5.222E-02
-1.2350E-03,-5.222E-02
-1.2325E-03,-9.222E-02
-1.2300E-03,-9.222E-02
-1.2275E-03,-9.222E-02
-1.2250E-03,-9.222E-02
-1.2225E-03,-9.222E-02
-1.2200E-03,-9.222E-02
-1.2175E-03,-5.222E-02
-1.2150E-03,-9.222E-02
-1.2125E-03,-9.222E-02
-1.2100E-03,-9.222E-02
-1.2075E-03,-5.222E-02
-1.2050E-03,-5.222E-02
-1.2025E-03,-9.222E-02
-1.2000E-03,-1.322E-01
-1.1975E-03,-9.222E-02
-1.1950E-03,-9.222E-02
-1.1925E-03,-1.322E-01
-1.1900E-03,-9.222E-02
-1.1875E-03,-9.222E-02
-1.1850E-03,-9.222E-02
-1.1825E-03,-5.222E-02
-1.1800E-03,-9.222E-02
-1.1775E-03,-5.222E-02
-1.1750E-03,-9.222E-02
-1.1725E-03,-5.222E-02
-1.1700E-03,-9.222E-02
-1.1675E-03,-9.222E-02
-1.1650E-03,-9.222E-02
-1.1625E-03,-9.222E-02
-1.1600E-03,-9.222E-02
-1.1575E-03,-9.222E-02
-1.1550E-03,-5.222E-02
-1.1525E-03,-9.222E-02
-1.1500E-03,-9.222E-02
-1.1475E-03,-9.222E-02
-1.1450E-03,-9.222E-02
-1.1425E-03,-9.222E-02
-1.1400E-03,-9.222E-02
-1.1375E-03,-9.222E-02
-1.1350E-03,-5.222E-02
-1.1325E-03,-5.222E-02
-1.1300E-03,-5.222E-02
-1.1275E-03,-9.222E-02
-1.1250E-03,-9.222E-02
-1.1225E-03,-5.222E-02
-1.1200E-03,-9.222E-02
-1.1175E-03,-9.222E-02
-1.1150E-03,-9.222E-02
-1.1125E-03,-9.222E-02
-1.1100E-03,-9.222E-02
-1.1075E-03,-5.222E-02
-1.1050E-03,-5.222E-02
-1.1025E-03,-9.222E-02
-1.1000E-03,-9.222E-02
-1.0975E-03,-9.222E-02
-1.0950E-03,-9.222E-02
-1.0925E-03,-9.222E-02
-1.0900E-03,-9.222E-02
-1.0875E-03,-5.222E-02
-1.0850E-03,-5.222E-02
-1.0825E-03,-9.222E-02
-1.0800E-03,-9.222E-02
-1.0775E-03,-9.222E-02
-1.0750E-03,-9.222E-02
-1.0725E-03,-9.222E-02
-1.0700E-03,-9.222E-02
-1.0675E-03,-9.222E-02
-1.0650E-03,-9.222E-02
-1.0625E-03,-9.222E-02
-1.0600E-03,-9.222E-02
-1.0575E-03,-5.222E-02
-1.0550E-03,-5.222E-02
-1.0525E-03,-5.222E-02
-1.0500E-03,-9.222E-02
-1.0475E-03,-5.222E-02
-1.0450E-03,-9.222E-02
-1.0425E-03,-9.222E-02
-1.0400E-03,-9.222E-02
-1.0375E-03,-5.222E-02
-1.0350E-03,-5.222E-02
-1.0325E-03,-9.222E-02
-1.0300E-03,-9.222E-02
-1.0275E-03,-9.222E-02
-1.0250E-03,-9.222E-02
-1.0225E-03,-5.222E-02
-1.0200E-03,-9.222E-02
-1.0175E-03,-9.222E-02
-1.0150E-03,-9.222E-02
-1.0125E-03,-5.222E-02
-1.0100E-03,-9.222E-02
-1.0075E-03,-9.222E-02
-1.0050E-03,-9.222E-02
-1.0025E-03,-9.222E-02
-1.0000E-03,-9.222E-02
-9.9750E-04,6.278E-01
-9.9500E-04,-9.222E-02
-9.9250E-04,-1.322E-01
-9.9000E-04,-9.222E-02
-9.8750E-04,-9.222E-02
-9.8500E-04,-5.222E-02
-9.8250E-04,-5.222E-02
-9.8000E-04,-9.222E-02
-9.7750E-04,-9.222E-02
-9.7500E-04,-9.222E-02
-9.7250E-04,-5.222E-02
-9.7000E-04,-9.222E-02
-9.6750E-04,-9.222E-02
-9.6500E-04,-9.222E-02
-9.6250E-04,-9.222E-02
-9.6000E-04,-9.222E-02
-9.5750E-04,-9.222E-02
-9.5500E-04,-5.222E-02
-9.5250E-04,-5.222E-02
-9.5000E-04,-9.222E-02
-9.4750E-04,-9.222E-02
-9.4500E-04,-9.222E-02
-9.4250E-04,-9.222E-02
-9.4000E-04,-5.222E-02
-9.3750E-04,-9.222E-02
-9.3500E-04,-5.222E-02
-9.3250E-04,-9.222E-02
-9.3000E-04,-1.322E-01
-9.2750E-04,-9.222E-02
-9.2500E-04,-9.222E-02
-9.2250E-04,-9.222E-02
-9.2000E-04,-9.222E-02
-9.1750E-04,-9.222E-02
-9.1500E-04,-9.222E-02
-9.1250E-04,-5.222E-02
-9.1000E-04,-1.322E-01
-9.0750E-04,-9.222E-02
-9.0500E-04,-5.222E-02
-9.0250E-04,-9.222E-02
-9.0000E-04,-9.222E-02
-8.9750E-04,-9.222E-02
-8.9500E-04,-5.222E-02
-8.9250E-04,-9.222E-02
-8.9000E-04,-9.222E-02
-8.8750E-04,-5.222E-02
-8.8500E-04,-5.222E-02
-8.8250E-04,-9.222E-02
-8.8000E-04,-9.222E-02
-8.7750E-04,-9.222E-02
-8.7500E-04,-9.222E-02
-8.7250E-04,-5.222E-02
-8.7000E-04,-9.222E-02
-8.6750E-04,-9.222E-02
-8.6500E-04,-5.222E-02
-8.6250E-04,-9.222E-02
-8.6000E-04,-9.222E-02
-8.5750E-04,-1.322E-01
-8.5500E-04,-9.222E-02
