Time,CH A,CH B,
4.63232E-3,-4.362E-2,-2.39713E+0,
4.64232E-3,-2.0362E-1,-2.51713E+0,
4.65233E-3,-4.362E-2,-2.39713E+0,
4.66233E-3,-2.0362E-1,-2.51713E+0,
4.67234E-3,-4.362E-2,-2.35713E+0,
4.68234E-3,-2.0362E-1,-2.51713E+0,
4.69235E-3,-4.362E-2,-2.39713E+0,
4.70235E-3,-2.0362E-1,-2.51713E+0,
4.71236E-3,-4.362E-2,-2.43713E+0,
4.72236E-3,-2.0362E-1,-2.55713E+0,
4.73237E-3,-4.362E-2,-2.39713E+0,
4.74237E-3,-2.0362E-1,-2.55713E+0,
4.75238E-3,3.638E-2,-2.39713E+0,
4.76238E-3,-2.0362E-1,-2.55713E+0,
4.77239E-3,3.638E-2,-2.43713E+0,
4.78239E-3,-2.0362E-1,-2.55713E+0,
4.7924E-3,3.638E-2,-2.43713E+0,
4.8024E-3,-2.0362E-1,-2.55713E+0,
4.81241E-3,3.638E-2,-2.43713E+0,
4.82241E-3,-2.0362E-1,-2.55713E+0,
4.83242E-3,3.638E-2,-2.43713E+0,
4.84242E-3,-2.0362E-1,-2.55713E+0,
4.85243E-3,3.638E-2,-2.43713E+0,
4.86243E-3,-1.2362E-1,-2.55713E+0,
4.87244E-3,3.638E-2,-2.47713E+0,
4.88244E-3,-1.2362E-1,-2.55713E+0,
4.89245E-3,3.638E-2,-2.47713E+0,
4.90245E-3,-1.2362E-1,-2.55713E+0,
4.91246E-3,3.638E-2,-2.43713E+0,
4.92246E-3,-1.2362E-1,-2.55713E+0,
4.93247E-3,1.1638E-1,-2.47713E+0,
4.94247E-3,-1.2362E-1,-2.55713E+0,
4.95248E-3,1.1638E-1,-2.47713E+0,
4.96248E-3,-1.2362E-1,-2.59713E+0,
4.97249E-3,1.1638E-1,-2.47713E+0,
4.98249E-3,-1.2362E-1,-2.55713E+0,
4.9925E-3,1.1638E-1,-2.47713E+0,
5.0025E-3,-1.2362E-1,-2.59713E+0,
5.01251E-3,1.1638E-1,-2.47713E+0,
5.02251E-3,-1.2362E-1,-2.59713E+0,
5.03252E-3,1.1638E-1,-2.47713E+0,
5.04252E-3,-4.362E-2,-2.59713E+0,
5.05253E-3,1.1638E-1,-2.43713E+0,
5.06253E-3,-1.2362E-1,-2.59713E+0,
5.07254E-3,1.1638E-1,-2.43713E+0,
5.08254E-3,-4.362E-2,-2.59713E+0,
5.09255E-3,1.1638E-1,-2.47713E+0,
5.10255E-3,-4.362E-2,-2.59713E+0,
5.11256E-3,1.1638E-1,-2.47713E+0,
5.12256E-3,-4.362E-2,-2.59713E+0,
5.13257E-3,1.1638E-1,-2.47713E+0,
5.14257E-3,-4.362E-2,-2.59713E+0,
5.15258E-3,1.1638E-1,-2.47713E+0,
5.16258E-3,-4.362E-2,-2.59713E+0,
5.17259E-3,1.1638E-1,-2.47713E+0,
5.18259E-3,-4.362E-2,-2.55713E+0,
5.1926E-3,1.9638E-1,-2.47713E+0,
5.2026E-3,-4.362E-2,-2.55713E+0,
5.21261E-3,1.9638E-1,-2.47713E+0,
5.22261E-3,-4.362E-2,-2.55713E+0,
5.23262E-3,1.9638E-1,-2.43713E+0,
5.24262E-3,-4.362E-2,-2.55713E+0,
5.25263E-3,1.9638E-1,-2.43713E+0,
5.26263E-3,-4.362E-2,-2.55713E+0,
